"Prefix","Country"
"4479975","United Kingdom"
"4479979","United Kingdom"
"4479989","United Kingdom"
"4484300","United Kingdom"
"4484301","United Kingdom"
"4484302","United Kingdom"
"4484303","United Kingdom"
"4484304","United Kingdom"
"4484305","United Kingdom"
"4484306","United Kingdom"
"4484307","United Kingdom"
"4484308","United Kingdom"
"4484309","United Kingdom"
"4484310","United Kingdom"
"4484311","United Kingdom"
"4484312","United Kingdom"
"4484313","United Kingdom"
"4484315","United Kingdom"
"4484316","United Kingdom"
"4484317","United Kingdom"
"4484318","United Kingdom"
"4484320","United Kingdom"
"4484321","United Kingdom"
"4484322","United Kingdom"
"4484323","United Kingdom"
"4484324","United Kingdom"
"4484325","United Kingdom"
"4484326","United Kingdom"
"4484327","United Kingdom"
"4484328","United Kingdom"
"4484329","United Kingdom"
"4484330","United Kingdom"
"4484331","United Kingdom"
"4484332","United Kingdom"
"4484333","United Kingdom"
"4484334","United Kingdom"
"4484335","United Kingdom"
"4484336","United Kingdom"
"4484337","United Kingdom"
"4484338","United Kingdom"
"4484339","United Kingdom"
"4484340","United Kingdom"
"4484341","United Kingdom"
"4484342","United Kingdom"
"4484343","United Kingdom"
"4484344","United Kingdom"
"4484345","United Kingdom"
"4484346","United Kingdom"
"4484347","United Kingdom"
"4484348","United Kingdom"
"4484349","United Kingdom"
"4484350","United Kingdom"
"4484351","United Kingdom"
"4484352","United Kingdom"
"4484353","United Kingdom"
"4484354","United Kingdom"
"4484355","United Kingdom"
"4484356","United Kingdom"
"4484357","United Kingdom"
"4484358","United Kingdom"
"4484359","United Kingdom"
"4484360","United Kingdom"
"4484361","United Kingdom"
"4484362","United Kingdom"
"4484363","United Kingdom"
"4484364","United Kingdom"
"4484365","United Kingdom"
"4484366","United Kingdom"
"4484367","United Kingdom"
"4484368","United Kingdom"
"4484369","United Kingdom"
"4484370","United Kingdom"
"4484371","United Kingdom"
"4484372","United Kingdom"
"4484373","United Kingdom"
"4484374","United Kingdom"
"4484375","United Kingdom"
"4484376","United Kingdom"
"4484377","United Kingdom"
"4484378","United Kingdom"
"4484379","United Kingdom"
"4484380","United Kingdom"
"4484381","United Kingdom"
"4484382","United Kingdom"
"4484383","United Kingdom"
"4484384","United Kingdom"
"4484385","United Kingdom"
"4484386","United Kingdom"
"4484387","United Kingdom"
"4484388","United Kingdom"
"4484389","United Kingdom"
"4484390","United Kingdom"
"4484391","United Kingdom"
"4484392","United Kingdom"
"4484393","United Kingdom"
"4484394","United Kingdom"
"4484395","United Kingdom"
"4484396","United Kingdom"
"4484397","United Kingdom"
"4484398","United Kingdom"
"4484399","United Kingdom"
"4484420","United Kingdom"
"4484421","United Kingdom"
"4484422","United Kingdom"
"4484423","United Kingdom"
"4484424","United Kingdom"
"4484425","United Kingdom"
"4484426","United Kingdom"
"4484427","United Kingdom"
"4484428","United Kingdom"
"4484429","United Kingdom"
"4484430","United Kingdom"
"4484431","United Kingdom"
"4484432","United Kingdom"
"4484433","United Kingdom"
"4484434","United Kingdom"
"4484435","United Kingdom"
"4484436","United Kingdom"
"4484437","United Kingdom"
"4484438","United Kingdom"
"4484439","United Kingdom"
"4484440","United Kingdom"
"4484441","United Kingdom"
"4484442","United Kingdom"
"4484443","United Kingdom"
"4484444","United Kingdom"
"4484445","United Kingdom"
"4484446","United Kingdom"
"4484447","United Kingdom"
"4484448","United Kingdom"
"4484449","United Kingdom"
"4484450","United Kingdom"
"4484451","United Kingdom"
"4484452","United Kingdom"
"4484453","United Kingdom"
"4484454","United Kingdom"
"4484455","United Kingdom"
"4484456","United Kingdom"
"4484457","United Kingdom"
"4484458","United Kingdom"
"4484459","United Kingdom"
"4484460","United Kingdom"
"4484461","United Kingdom"
"4484462","United Kingdom"
"4484463","United Kingdom"
"4484464","United Kingdom"
"4484465","United Kingdom"
"4484466","United Kingdom"
"4484467","United Kingdom"
"4484468","United Kingdom"
"4484469","United Kingdom"
"4484470","United Kingdom"
"4484471","United Kingdom"
"4484472","United Kingdom"
"4484473","United Kingdom"
"4484474","United Kingdom"
"4484475","United Kingdom"
"4484476","United Kingdom"
"4484477","United Kingdom"
"4484478","United Kingdom"
"4484479","United Kingdom"
"4484480","United Kingdom"
"4484481","United Kingdom"
"4484482","United Kingdom"
"4484483","United Kingdom"
"4484484","United Kingdom"
"4484485","United Kingdom"
"4484486","United Kingdom"
"4484487","United Kingdom"
"4484488","United Kingdom"
"4484489","United Kingdom"
